event_id,image_id,timestamp,event_type,score,severity,explanation,action_hint
evt_c04e39d2e4,img_2d74745232,2026-06-09T07:36:26,IMAGE_PROCESSED,233.55,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_b10eaf016d,img_e35d0bf94d,2026-06-09T07:36:26,IMAGE_PROCESSED,233.55,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_7eb5db1e9e,vid_57a5cb6ca5,2026-06-09T07:36:28,VIDEO_RECORDED,10,NORMAL,Recorded a short video clip with 10 frames.,Use the video clip for later review or image analysis.
evt_e566869fba,img_494650f8dd,2026-06-09T07:36:29,IMAGE_PROCESSED,233.55,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_68a81b101c,img_494650f8dd,2026-06-09T07:36:29,MOTION_DETECTED,1162.0,WARNING,Frame difference exceeded threshold.,Review captured image and keep the event in the dashboard.
evt_bb802825eb,img_8eeb1d0d6f,2026-06-09T19:42:37,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_8ad1abbcb5,img_23eb613f87,2026-06-09T19:42:37,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_94b74f5fb2,vid_91a4290bef,2026-06-09T19:42:38,VIDEO_RECORDED,10,NORMAL,Recorded a short video clip with 10 frames.,Use the video clip for later review or image analysis.
evt_ac8939def5,img_787cf8f738,2026-06-09T19:42:40,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_4af64f399b,img_787cf8f738,2026-06-09T19:42:40,MOTION_DETECTED,1162.0,WARNING,Frame difference exceeded threshold.,Review captured image and keep the event in the dashboard.
evt_61e1b36b48,img_ba24a677b6,2026-06-09T19:42:53,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_d0472464f4,img_7920f15b3d,2026-06-09T19:42:53,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_79b36be784,vid_3a883b0757,2026-06-09T19:42:54,VIDEO_RECORDED,10,NORMAL,Recorded a short video clip with 10 frames.,Use the video clip for later review or image analysis.
evt_b4417eb9c5,img_9c0f8d9767,2026-06-09T19:42:55,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_c9ed58b9ba,img_9c0f8d9767,2026-06-09T19:42:55,MOTION_DETECTED,1162.0,WARNING,Frame difference exceeded threshold.,Review captured image and keep the event in the dashboard.
evt_03cdc66504,img_1ca5a84946,2026-06-09T19:52:05,IMAGE_PROCESSED,136.48,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_3accf11e8e,img_bdbff05e57,2026-06-09T19:52:13,IMAGE_PROCESSED,136.06,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_1a5211273e,img_97a015dbd0,2026-06-09T19:52:25,IMAGE_PROCESSED,133.93,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_b80e4dd5c6,img_97a015dbd0,2026-06-09T19:52:25,MOTION_DETECTED,16473.0,WARNING,Frame difference exceeded threshold.,Review captured image and keep the event in the dashboard.
evt_089fa2a846,img_e0b2717a84,2026-06-09T19:54:33,LOW_LIGHT,0.0,WARNING,Image brightness is low; later AI inference may be less reliable.,Improve lighting or review image quality before using the image for object detection.
evt_8e54ee98fa,img_857def24f4,2026-06-09T20:19:12,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_a140c022d2,img_1dd84e7af9,2026-06-09T20:32:57,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_359cdc6793,img_ae3521bfc5,2026-06-09T20:32:57,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_a931584df0,vid_a640758a22,2026-06-09T20:32:59,VIDEO_RECORDED,10,NORMAL,Recorded a short video clip with 10 frames.,Use the video clip for later review or image analysis.
evt_416477486c,img_6029d72295,2026-06-09T20:33:00,IMAGE_PROCESSED,233.51,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_b53121414f,img_6029d72295,2026-06-09T20:33:00,MOTION_DETECTED,1162.0,WARNING,Frame difference exceeded threshold.,Review captured image and keep the event in the dashboard.
evt_8d5add6253,img_4ac72c1c72,2026-06-09T20:38:36,IMAGE_PROCESSED,99.8,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_c0cfa3497e,img_abbdb9b7a7,2026-06-09T20:39:04,IMAGE_PROCESSED,108.97,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_8bcde2b302,img_5eb25e0650,2026-06-09T20:51:02,IMAGE_PROCESSED,136.44,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_4bccb7af89,img_5eb25e0650,2026-06-09T20:51:02,OBJECT_DETECTION_FALLBACK,4,WARNING,Detected 4 object/region candidate(s) using fallback_contour. Model note: Model not found: models\yolov8n.onnx,Review the annotated image and use this output as a bridge to Lab 7 object detection.
evt_1c5170a929,img_7cf477af9d,2026-06-09T20:51:20,IMAGE_PROCESSED,136.44,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_2495e5c820,img_7cf477af9d,2026-06-09T20:51:20,OBJECT_DETECTION_FALLBACK,4,WARNING,Detected 4 object/region candidate(s) using fallback_contour. Model note: Model not found: models\yolov8n.onnx,Review the annotated image and use this output as a bridge to Lab 7 object detection.
evt_ec56a9b61c,img_dd0207d8b5,2026-06-09T20:58:51,IMAGE_PROCESSED,108.97,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_65dc8be3ff,img_f458637b88,2026-06-09T20:58:59,IMAGE_PROCESSED,108.97,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_0c5e0b0506,img_8777c38a59,2026-06-09T21:02:19,IMAGE_PROCESSED,139.7,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_b8da724608,img_cdfacc1b6d,2026-06-09T21:02:36,IMAGE_PROCESSED,155.2,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_3985b1b01a,img_cdfacc1b6d,2026-06-09T21:02:36,MOTION_DETECTED,7719.0,WARNING,Frame difference exceeded threshold.,Review captured image and keep the event in the dashboard.
evt_48cb0ed444,vid_f504be2958,2026-06-09T21:02:46,VIDEO_RECORDED,47,NORMAL,Recorded a short video clip with 47 frames.,Use the video clip for later review or image analysis.
evt_e89f867a9c,img_4c6046c662,2026-06-09T21:04:40,IMAGE_PROCESSED,107.62,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_ed721e83eb,img_e6521e546a,2026-06-09T21:06:31,IMAGE_PROCESSED,136.44,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_751fa00a30,img_e6521e546a,2026-06-09T21:06:31,OBJECT_DETECTION_FALLBACK,4,WARNING,Detected 4 object/region candidate(s) using fallback_contour. Model note: Model not found: models\yolov8n.onnx,Review the annotated image and use this output as a bridge to Lab 7 object detection.
evt_ae29cde646,img_83a674f40f,2026-06-09T21:12:27,IMAGE_PROCESSED,107.62,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_9eae2aa5e2,img_84621c19fe,2026-06-09T21:12:28,IMAGE_PROCESSED,107.62,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_f97cc5bed5,img_84621c19fe,2026-06-09T21:12:28,OBJECT_DETECTION_FALLBACK,2,WARNING,Detected 2 object/region candidate(s) using fallback_contour. Model note: Model not found: models\yolov8n.onnx,Review the annotated image and use this output as a bridge to Lab 7 object detection.
evt_3e7711e084,img_a8beb53ecd,2026-06-09T21:12:35,IMAGE_PROCESSED,107.62,NORMAL,"Image was received, saved, preprocessed, and registered as visual data.",Continue monitoring or pass the image to Lab 7 object detection.
evt_61f3b6e2d5,img_a8beb53ecd,2026-06-09T21:12:35,OBJECT_DETECTION_FALLBACK,2,WARNING,Detected 2 object/region candidate(s) using fallback_contour. Model note: Model not found: models\yolov8n.onnx,Review the annotated image and use this output as a bridge to Lab 7 object detection.
