image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_2d74745232,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_2d74745232.jpg,data/processed_images/img_2d74745232_processed_steps.jpg,640,360,233.55,processed,171.03,demo_frame=0
img_e35d0bf94d,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_e35d0bf94d.jpg,data/processed_images/img_e35d0bf94d_processed_steps.jpg,640,360,233.55,processed,7.17,demo_frame=1
img_494650f8dd,camera:no_camera_fallback,2026-06-09T07:36:29,motion_capture,data/raw_images/img_494650f8dd.jpg,data/processed_images/img_494650f8dd_processed_steps.jpg,640,360,233.55,processed,5.06,"motion_score=1162.0, threshold=25, min_area=800"
img_8eeb1d0d6f,simulated_camera,2026-06-09T19:42:37,demo_script,data\raw_images\img_8eeb1d0d6f.jpg,data\processed_images\img_8eeb1d0d6f_processed_steps.jpg,640,360,233.51,processed,6.96,demo_frame=0
img_23eb613f87,simulated_camera,2026-06-09T19:42:37,demo_script,data\raw_images\img_23eb613f87.jpg,data\processed_images\img_23eb613f87_processed_steps.jpg,640,360,233.51,processed,5.01,demo_frame=1
img_787cf8f738,camera:no_camera_fallback,2026-06-09T19:42:40,motion_capture,data\raw_images\img_787cf8f738.jpg,data\processed_images\img_787cf8f738_processed_steps.jpg,640,360,233.51,processed,4.88,"motion_score=1162.0, threshold=25, min_area=800"
img_ba24a677b6,simulated_camera,2026-06-09T19:42:53,demo_script,data\raw_images\img_ba24a677b6.jpg,data\processed_images\img_ba24a677b6_processed_steps.jpg,640,360,233.51,processed,7.25,demo_frame=0
img_7920f15b3d,simulated_camera,2026-06-09T19:42:53,demo_script,data\raw_images\img_7920f15b3d.jpg,data\processed_images\img_7920f15b3d_processed_steps.jpg,640,360,233.51,processed,4.87,demo_frame=1
img_9c0f8d9767,camera:no_camera_fallback,2026-06-09T19:42:55,motion_capture,data\raw_images\img_9c0f8d9767.jpg,data\processed_images\img_9c0f8d9767_processed_steps.jpg,640,360,233.51,processed,4.57,"motion_score=1162.0, threshold=25, min_area=800"
img_1ca5a84946,camera:0,2026-06-09T19:52:05,camera,data\raw_images\img_1ca5a84946.jpg,data\processed_images\img_1ca5a84946_processed_steps.jpg,640,480,136.48,processed,10.4,snapshot button
